PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Train,Spending,Group,GroupNumber,FirstName,LastName,CabinDeck,CabinSide,CabinNum
0013_01,Earth,True,G/3/S,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Nelly Carsoning,False,0.0,0013,01,Nelly,Carsoning,G,S,3
0018_01,Earth,False,F/4/S,TRAPPIST-1e,19.0,False,0.0,9.0,0.0,2823.0,0.0,Lerome Peckers,False,2832.0,0018,01,Lerome,Peckers,F,S,4
0019_01,Europa,True,C/0/S,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Sabih Unhearfus,False,0.0,0019,01,Sabih,Unhearfus,C,S,0
0021_01,Europa,False,C/1/S,TRAPPIST-1e,38.0,False,0.0,6652.0,0.0,181.0,585.0,Meratz Caltilter,False,7418.0,0021,01,Meratz,Caltilter,C,S,1
0023_01,Earth,False,F/5/S,TRAPPIST-1e,20.0,False,10.0,0.0,635.0,0.0,0.0,Brence Harperez,False,645.0,0023,01,Brence,Harperez,F,S,5
0027_01,Earth,False,F/7/P,TRAPPIST-1e,31.0,False,0.0,1615.0,263.0,113.0,60.0,Karlen Ricks,False,2051.0,0027,01,Karlen,Ricks,F,P,7
0029_01,Europa,True,B/2/P,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Aldah Ainserfle,False,0.0,0029,01,Aldah,Ainserfle,B,P,2
0032_01,Europa,True,D/0/S,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Acrabi Pringry,False,0.0,0032,01,Acrabi,Pringry,D,S,0
0032_02,Europa,True,D/0/S,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,Dhena Pringry,False,0.0,0032,02,Dhena,Pringry,D,S,0
0033_01,Earth,False,F/7/S,55 Cancri e,24.0,False,0.0,639.0,0.0,0.0,0.0,Eliana Delazarson,False,639.0,0033,01,Eliana,Delazarson,F,S,7
0037_01,Earth,False,F/9/S,TRAPPIST-1e,19.0,False,339.0,3.0,136.0,237.0,0.0,Vivia Rickson,False,715.0,0037,01,Vivia,Rickson,F,S,9
0040_01,Europa,False,D/2/P,TRAPPIST-1e,45.0,False,932.0,74.0,,7.0,1010.0,Antino Pinoffent,False,2023.0,0040,01,Antino,Pinoffent,D,P,2
0040_02,Europa,False,D/2/P,TRAPPIST-1e,44.0,False,0.0,1561.0,0.0,14.0,224.0,Jihda Pinoffent,False,1799.0,0040,02,Jihda,Pinoffent,D,P,2
0042_01,Mars,True,E/0/P,TRAPPIST-1e,46.0,False,0.0,0.0,0.0,0.0,0.0,Hamus Frité,False,0.0,0042,01,Hamus,Frité,E,P,0
0046_01,Earth,False,G/4/P,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,1687.0,92.0,Neilda Powery,False,1779.0,0046,01,Neilda,Powery,G,P,4
0046_02,Earth,False,F/11/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,903.0,,Glene Powery,False,903.0,0046,02,Glene,Powery,F,P,11
0046_03,Earth,False,F/11/P,TRAPPIST-1e,20.0,False,2.0,12.0,253.0,457.0,690.0,Joanny Powery,False,1414.0,0046,03,Joanny,Powery,F,P,11
0047_01,Europa,True,B/0/S,TRAPPIST-1e,44.0,False,0.0,0.0,0.0,0.0,0.0,Winonon Prucerod,False,0.0,0047,01,Winonon,Prucerod,B,S,0
0047_02,Europa,False,,TRAPPIST-1e,29.0,False,0.0,7708.0,243.0,569.0,343.0,Muons Prucerod,False,8863.0,0047,02,Muons,Prucerod,,S,
0047_03,Europa,False,B/0/S,TRAPPIST-1e,40.0,False,26.0,1925.0,8.0,3144.0,63.0,,False,5166.0,0047,03,,,B,S,0
0048_01,Earth,False,G/5/S,TRAPPIST-1e,30.0,False,0.0,878.0,26.0,3.0,0.0,Tyle Deckerry,False,907.0,0048,01,Tyle,Deckerry,G,S,5
0049_01,Earth,False,E/1/P,TRAPPIST-1e,14.0,False,,0.0,0.0,1609.0,0.0,Doria Flynney,False,1609.0,0049,01,Doria,Flynney,E,P,1
0054_01,Europa,True,B/4/P,55 Cancri e,31.0,False,0.0,0.0,0.0,0.0,0.0,Algedia Viouster,False,0.0,0054,01,Algedia,Viouster,B,P,4
0054_02,Europa,False,B/4/P,55 Cancri e,27.0,False,0.0,6977.0,0.0,4.0,1235.0,Alteron Viouster,False,8216.0,0054,02,Alteron,Viouster,B,P,4
0054_03,Europa,False,B/4/P,55 Cancri e,66.0,False,39.0,6452.0,0.0,1409.0,155.0,Winon Viouster,False,8055.0,0054,03,Winon,Viouster,B,P,4
0055_01,Earth,False,G/5/P,TRAPPIST-1e,24.0,False,1784.0,8.0,18.0,18.0,0.0,Brence Frederry,False,1828.0,0055,01,Brence,Frederry,G,P,5
0057_01,Europa,False,C/1/P,55 Cancri e,19.0,False,293.0,3495.0,5273.0,118.0,422.0,Gatrin Windend,False,9601.0,0057,01,Gatrin,Windend,C,P,1
0059_01,Earth,True,E/2/P,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Janne Carvis,False,0.0,0059,01,Janne,Carvis,E,P,2
0060_01,Earth,False,F/12/P,TRAPPIST-1e,21.0,False,0.0,619.0,12.0,3.0,0.0,Fanna Ashipeck,False,634.0,0060,01,Fanna,Ashipeck,F,P,12
0063_01,Earth,True,G/8/S,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,Elene Daughessey,False,0.0,0063,01,Elene,Daughessey,G,S,8
0065_01,Earth,True,G/9/S,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Monald Rushorney,False,0.0,0065,01,Monald,Rushorney,G,S,9
0075_01,Earth,False,G/11/S,TRAPPIST-1e,19.0,False,598.0,0.0,30.0,0.0,0.0,Shally Jimes,False,628.0,0075,01,Shally,Jimes,G,S,11
0079_01,Earth,True,G/12/S,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,Verney Sullones,False,0.0,0079,01,Verney,Sullones,G,S,12
0080_01,Earth,False,G/7/P,TRAPPIST-1e,23.0,False,14.0,870.0,0.0,0.0,23.0,Wandy Llobsoney,False,907.0,0080,01,Wandy,Llobsoney,G,P,7
0083_01,Earth,False,G/8/P,TRAPPIST-1e,24.0,False,483.0,0.0,87.0,214.0,0.0,Lilasa Barris,False,784.0,0083,01,Lilasa,Barris,G,P,8
0087_01,Earth,False,E/3/P,TRAPPIST-1e,19.0,False,0.0,20.0,135.0,265.0,367.0,Meremy Jarvey,False,787.0,0087,01,Meremy,Jarvey,E,P,3
0089_01,Mars,True,F/19/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Ors Cha,False,0.0,0089,01,Ors,Cha,F,S,19
0093_01,Earth,False,G/10/P,TRAPPIST-1e,27.0,False,66.0,1736.0,0.0,0.0,15.0,Krisa Dukertyler,False,1817.0,0093,01,Krisa,Dukertyler,G,P,10
0094_01,Earth,True,G/17/S,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Jaye Santantines,False,0.0,0094,01,Jaye,Santantines,G,S,17
0094_02,Earth,False,F/21/S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,866.0,0.0,Terta Santantines,False,866.0,0094,02,Terta,Santantines,F,S,21
0095_01,Earth,False,F/18/P,PSO J318.5-22,23.0,False,0.0,0.0,1235.0,0.0,0.0,Toddie Benderez,False,1235.0,0095,01,Toddie,Benderez,F,P,18
0096_01,Earth,False,F/22/S,PSO J318.5-22,30.0,False,1.0,0.0,1585.0,0.0,484.0,Leenny Swanardy,False,2070.0,0096,01,Leenny,Swanardy,F,S,22
0100_01,Earth,False,G/13/P,TRAPPIST-1e,,False,0.0,17.0,997.0,0.0,0.0,Dary Cochrisons,False,1014.0,0100,01,Dary,Cochrisons,G,P,13
